,Name,Rating,Review,Type,Head_Quarter,Old,Employees,Tags
0,TCS,3.9,16k Reviews,Public,Mumbai + 158 more,52 years old,10000+ employees,"Consulting
            
              IT/ITES
            
              MNC
            
              Forbes Global 2000
            
              Fortune500
            
              Public
            
              Mumbai"
1,Accenture,4.0,14k Reviews,Private,Dublin + 90 more,31 years old,10000+ employees,"Consulting
            
              IT/ITES
            
              Forbes Global 2000
            
              MNC"
2,ICICI Bank,4.1,12.6k Reviews,Public,Mumbai + 724 more,26 years old,10000+ employees,"Banking/Insurance/Accounting
            
              Financial Services
            
              Fortune500
            
              MNC
            
              Forbes Global 2000
            
              Public
            
              Mumbai"
3,Cognizant,3.9,12k Reviews,Private,Teaneck + 44 more,26 years old,10000+ employees,"IT/ITES
            
              Forbes Global 2000
            
              MNC"
4,HDFC Bank,4.0,10.8k Reviews,Public,Mumbai + 699 more,26 years old,10000+ employees,"Banking/Insurance/Accounting
            
              Financial Services
            
              Forbes Global 2000
            
              Fortune500
            
              Public
            
              Mumbai"
5,Infosys,3.9,10.7k Reviews,Public,Bangalore + 62 more,39 years old,10000+ employees,"IT/ITES
            
              Fortune500
            
              Forbes Global 2000
            
              MNC
            
              Public"
6,L&T,4.1,10k Reviews,Public,Mumbai + 335 more,82 years old,10000+ employees,"Construction
            
              Conglomerate
            
              Fortune500
            
              Forbes Global 2000
            
              Public
            
              Mumbai"
7,Capgemini,3.3,9.5k Reviews,Private,Paris + 43 more,53 years old,10000+ employees,"Analytics
            
              Computer Software
            
              Consulting
            
              Internet
            
              IT/ITES
            
              Forbes Global 2000
            
              MNC"
8,Tech Mahindra,3.5,8.8k Reviews,Public,Pune + 134 more,34 years old,10000+ employees,"Consulting
            
              IT/ITES
            
              Forbes Global 2000
            
              MNC
            
              Fortune500
            
              Public
            
              Pune"
9,HCL Technologies,3.7,8.6k Reviews,Public,Noida + 106 more,14 years old,10000+ employees,"Consulting
            
              IT/ITES
            
              Fortune500
            
              MNC
            
              Forbes Global 2000
            
              Public
            
              Noida"
